"semnig1" "semnig2" "ridge1" "lasso1" "xtune1" "ebridge1"
"pmse133" 0.8825422905609 0.88284548718389 0.856864254740423 0.86810520184338 0.865152159626379 0.860974617720274
"pmse134" 0.97870415293818 0.976905527308919 0.947602678368273 1.00259171208375 0.987549863624716 0.973815601879589
"pmse135" 0.828922153774515 0.827901035722206 0.827445757138094 0.840704338825012 0.82635111633586 0.830819716268001
"pmse136" 0.690109689411846 0.690603369602533 0.72074106991425 0.695891713769515 0.694891190830858 0.708112824118746
"pmse137" 0.66579533357328 0.665291126692286 0.684469760670117 0.699147477469651 0.674818329283898 0.683476943430395
"pmse138" 0.94602136419568 0.946444625355083 0.938655625754604 1.03968994870209 0.993893840141261 0.942295039697387
"pmse139" 0.835478706915801 0.835479736998407 0.832300424596828 0.848844613655619 0.833404825194201 0.83678070166432
"pmse140" 0.748545942542982 0.747146499186266 0.779303696696572 0.762203407042032 0.746855052642827 0.777421121817941
"pmse141" 0.810478164333659 0.810038918714332 0.811450493910855 0.83968185838123 0.807590969059805 0.814517042178407
"pmse142" 0.774113861759369 0.773608711904301 0.766875925231196 0.770845082715575 0.764947985992158 0.771087926149049
"pmse143" 0.686680703312569 0.686383886202202 0.677469497812423 0.718842617544277 0.675229760809903 0.679324771738101
"pmse144" 0.911194345066584 0.911038508849952 0.895057454888434 0.929923861771205 0.907669414412308 0.901911029369292
"pmse145" 0.813324576947488 0.812115223334474 0.801531046537678 0.803906407308959 0.800348369091365 0.805791368740029
"pmse146" 0.970628812379366 0.971133411321936 0.967789960205123 0.979055011575854 0.965490075748968 0.966435985181874
"pmse147" 0.741665067935622 0.742259045632892 0.757499634170193 0.752853132107071 0.741847700935256 0.746075973383594
"pmse148" 0.860046247125082 0.860599827708842 0.860000874876314 0.911856947850601 0.858887730967427 0.856862771325601
"pmse149" 0.955873443764786 0.956205727658244 0.914278968699225 0.920201534047979 0.932866180652167 0.922654634223645
"pmse150" 0.642451152650941 0.641602226822116 0.650480183330303 0.689819163270103 0.643297658071923 0.650873694233417
"pmse151" 0.829526928933853 0.830185364190098 0.833796304139464 0.901238323816728 0.827218898580061 0.82728274253719
"pmse152" 0.777761088650692 0.778113019486647 0.774045065382578 0.792866540147905 0.771004155129696 0.772049811968523
"pmse153" 0.831611428948713 0.82833348001468 0.833963581942322 0.95859231909611 0.827211738004805 0.856539477780306
"pmse154" 0.977520977426391 0.978319462867988 0.956877293069344 0.96313521153008 0.960907846569416 0.964017961821531
"pmse155" 0.910746453358531 0.911934945964476 0.894536872257026 0.907558176454036 0.902784436473629 0.892634033955019
"pmse156" 0.862580809649312 0.862390803811129 0.84603143245674 0.920373892412268 0.862191940282816 0.853108581797426
"pmse157" 0.711829666334827 0.709144070297308 0.719733208577783 0.754611022525326 0.696048168576984 0.732989959168256
"pmse158" 0.939260283095984 0.939011932490412 0.957097164661352 0.995073891625616 0.948351509357794 0.957525888346096
"pmse159" 0.667571361139081 0.668037604134691 0.651931775841043 0.663406030786602 0.680074299615196 0.65424025118012
"pmse160" 0.803091227134781 0.80235912127038 0.790827151205609 0.805055134811794 0.788292238111328 0.796452786572474
